"","acquisition_date","acquisitions"
"1","1970-01-01",34
"2","1970-01-02",38
"3","1970-01-03",32
"4","1970-01-04",39
"5","1970-01-05",44
"6","1970-01-06",41
"7","1970-01-07",38
"8","1970-01-08",33
"9","1970-01-09",40
"10","1970-01-10",40
"11","1970-01-11",35
"12","1970-01-12",29
"13","1970-01-13",32
"14","1970-01-14",36
"15","1970-01-15",34
"16","1970-01-16",40
"17","1970-01-17",47
"18","1970-01-18",37
"19","1970-01-19",54
"20","1970-01-20",36
"21","1970-01-21",40
"22","1970-01-22",37
"23","1970-01-23",37
"24","1970-01-24",34
"25","1970-01-25",38
"26","1970-01-26",46
"27","1970-01-27",36
"28","1970-01-28",40
"29","1970-01-29",41
"30","1970-01-30",35
"31","1970-01-31",43
"32","1970-02-01",31
"33","1970-02-02",33
"34","1970-02-03",33
"35","1970-02-04",35
"36","1970-02-05",27
"37","1970-02-06",39
"38","1970-02-07",43
"39","1970-02-08",33
"40","1970-02-09",46
"41","1970-02-10",32
"42","1970-02-11",31
"43","1970-02-12",51
"44","1970-02-13",30
"45","1970-02-14",29
"46","1970-02-15",39
"47","1970-02-16",45
"48","1970-02-17",37
"49","1970-02-18",47
"50","1970-02-19",34
"51","1970-02-20",31
"52","1970-02-21",40
"53","1970-02-22",42
"54","1970-02-23",25
"55","1970-02-24",36
"56","1970-02-25",39
"57","1970-02-26",34
"58","1970-02-27",52
"59","1970-02-28",38
"60","1970-03-01",44
"61","1970-03-02",41
"62","1970-03-03",42
"63","1970-03-04",42
"64","1970-03-05",39
"65","1970-03-06",41
"66","1970-03-07",35
"67","1970-03-08",34
"68","1970-03-09",44
"69","1970-03-10",39
"70","1970-03-11",47
"71","1970-03-12",41
"72","1970-03-13",37
"73","1970-03-14",33
"74","1970-03-15",47
"75","1970-03-16",40
"76","1970-03-17",46
"77","1970-03-18",38
"78","1970-03-19",27
"79","1970-03-20",33
"80","1970-03-21",37
"81","1970-03-22",32
"82","1970-03-23",45
"83","1970-03-24",42
"84","1970-03-25",51
"85","1970-03-26",43
"86","1970-03-27",50
"87","1970-03-28",54
"88","1970-03-29",32
"89","1970-03-30",38
"90","1970-03-31",45
"91","1970-04-01",43
"92","1970-04-02",45
"93","1970-04-03",39
"94","1970-04-04",39
"95","1970-04-05",40
"96","1970-04-06",31
"97","1970-04-07",41
"98","1970-04-08",47
"99","1970-04-09",42
"100","1970-04-10",36
"101","1970-04-11",44
"102","1970-04-12",42
"103","1970-04-13",42
"104","1970-04-14",41
"105","1970-04-15",45
"106","1970-04-16",35
"107","1970-04-17",31
"108","1970-04-18",39
"109","1970-04-19",31
"110","1970-04-20",40
"111","1970-04-21",39
"112","1970-04-22",37
"113","1970-04-23",35
"114","1970-04-24",36
"115","1970-04-25",35
"116","1970-04-26",42
"117","1970-04-27",37
"118","1970-04-28",28
"119","1970-04-29",40
"120","1970-04-30",26
"121","1970-05-01",33
"122","1970-05-02",41
"123","1970-05-03",44
"124","1970-05-04",41
"125","1970-05-05",46
"126","1970-05-06",42
"127","1970-05-07",36
"128","1970-05-08",35
"129","1970-05-09",44
"130","1970-05-10",46
"131","1970-05-11",43
"132","1970-05-12",37
"133","1970-05-13",37
"134","1970-05-14",29
"135","1970-05-15",44
"136","1970-05-16",36
"137","1970-05-17",44
"138","1970-05-18",30
"139","1970-05-19",46
"140","1970-05-20",45
"141","1970-05-21",38
"142","1970-05-22",37
"143","1970-05-23",41
"144","1970-05-24",29
"145","1970-05-25",49
"146","1970-05-26",34
"147","1970-05-27",41
"148","1970-05-28",35
"149","1970-05-29",43
"150","1970-05-30",35
"151","1970-05-31",32
"152","1970-06-01",45
"153","1970-06-02",51
"154","1970-06-03",41
"155","1970-06-04",40
"156","1970-06-05",42
"157","1970-06-06",49
"158","1970-06-07",40
"159","1970-06-08",28
"160","1970-06-09",55
"161","1970-06-10",47
"162","1970-06-11",37
"163","1970-06-12",40
"164","1970-06-13",33
"165","1970-06-14",38
"166","1970-06-15",37
"167","1970-06-16",35
"168","1970-06-17",35
"169","1970-06-18",39
"170","1970-06-19",36
"171","1970-06-20",37
"172","1970-06-21",37
"173","1970-06-22",50
"174","1970-06-23",32
"175","1970-06-24",40
"176","1970-06-25",31
"177","1970-06-26",43
"178","1970-06-27",35
"179","1970-06-28",38
"180","1970-06-29",40
"181","1970-06-30",47
"182","1970-07-01",41
"183","1970-07-02",34
"184","1970-07-03",40
"185","1970-07-04",39
"186","1970-07-05",41
"187","1970-07-06",38
"188","1970-07-07",34
"189","1970-07-08",34
"190","1970-07-09",44
"191","1970-07-10",44
"192","1970-07-11",35
"193","1970-07-12",41
"194","1970-07-13",31
"195","1970-07-14",50
"196","1970-07-15",40
"197","1970-07-16",52
"198","1970-07-17",34
"199","1970-07-18",30
"200","1970-07-19",38
"201","1970-07-20",42
"202","1970-07-21",42
"203","1970-07-22",33
"204","1970-07-23",40
"205","1970-07-24",33
"206","1970-07-25",37
"207","1970-07-26",33
"208","1970-07-27",38
"209","1970-07-28",34
"210","1970-07-29",44
"211","1970-07-30",32
"212","1970-07-31",41
"213","1970-08-01",38
"214","1970-08-02",41
"215","1970-08-03",33
"216","1970-08-04",30
"217","1970-08-05",45
"218","1970-08-06",37
"219","1970-08-07",41
"220","1970-08-08",23
"221","1970-08-09",35
"222","1970-08-10",44
"223","1970-08-11",40
"224","1970-08-12",39
"225","1970-08-13",38
"226","1970-08-14",41
"227","1970-08-15",48
"228","1970-08-16",40
"229","1970-08-17",42
"230","1970-08-18",41
"231","1970-08-19",48
"232","1970-08-20",26
"233","1970-08-21",39
"234","1970-08-22",32
"235","1970-08-23",39
"236","1970-08-24",32
"237","1970-08-25",42
"238","1970-08-26",34
"239","1970-08-27",35
"240","1970-08-28",47
"241","1970-08-29",44
"242","1970-08-30",43
"243","1970-08-31",28
"244","1970-09-01",43
"245","1970-09-02",53
"246","1970-09-03",30
"247","1970-09-04",46
"248","1970-09-05",42
"249","1970-09-06",37
"250","1970-09-07",42
"251","1970-09-08",33
"252","1970-09-09",38
"253","1970-09-10",37
"254","1970-09-11",33
"255","1970-09-12",38
"256","1970-09-13",36
"257","1970-09-14",36
"258","1970-09-15",39
"259","1970-09-16",46
"260","1970-09-17",33
"261","1970-09-18",37
"262","1970-09-19",30
"263","1970-09-20",31
"264","1970-09-21",27
"265","1970-09-22",28
"266","1970-09-23",53
"267","1970-09-24",41
"268","1970-09-25",44
"269","1970-09-26",53
"270","1970-09-27",40
"271","1970-09-28",39
"272","1970-09-29",45
"273","1970-09-30",28
"274","1970-10-01",39
"275","1970-10-02",31
"276","1970-10-03",51
"277","1970-10-04",29
"278","1970-10-05",39
"279","1970-10-06",38
"280","1970-10-07",31
"281","1970-10-08",52
"282","1970-10-09",51
"283","1970-10-10",34
"284","1970-10-11",42
"285","1970-10-12",34
"286","1970-10-13",24
"287","1970-10-14",35
"288","1970-10-15",39
"289","1970-10-16",36
"290","1970-10-17",29
"291","1970-10-18",37
"292","1970-10-19",41
"293","1970-10-20",36
"294","1970-10-21",28
"295","1970-10-22",33
"296","1970-10-23",40
"297","1970-10-24",37
"298","1970-10-25",43
"299","1970-10-26",52
"300","1970-10-27",43
"301","1970-10-28",32
"302","1970-10-29",50
"303","1970-10-30",44
"304","1970-10-31",41
"305","1970-11-01",43
"306","1970-11-02",38
"307","1970-11-03",47
"308","1970-11-04",41
"309","1970-11-05",35
"310","1970-11-06",35
"311","1970-11-07",37
"312","1970-11-08",35
"313","1970-11-09",39
"314","1970-11-10",35
"315","1970-11-11",36
"316","1970-11-12",38
"317","1970-11-13",36
"318","1970-11-14",42
"319","1970-11-15",54
"320","1970-11-16",38
"321","1970-11-17",39
"322","1970-11-18",32
"323","1970-11-19",32
"324","1970-11-20",39
"325","1970-11-21",29
"326","1970-11-22",33
"327","1970-11-23",33
"328","1970-11-24",35
"329","1970-11-25",41
"330","1970-11-26",41
"331","1970-11-27",29
"332","1970-11-28",30
"333","1970-11-29",37
"334","1970-11-30",27
"335","1970-12-01",30
"336","1970-12-02",53
"337","1970-12-03",33
"338","1970-12-04",42
"339","1970-12-05",28
"340","1970-12-06",35
"341","1970-12-07",35
"342","1970-12-08",42
"343","1970-12-09",38
"344","1970-12-10",38
"345","1970-12-11",33
"346","1970-12-12",45
"347","1970-12-13",37
"348","1970-12-14",30
"349","1970-12-15",38
"350","1970-12-16",42
"351","1970-12-17",37
"352","1970-12-18",35
"353","1970-12-19",35
"354","1970-12-20",28
"355","1970-12-21",36
"356","1970-12-22",29
"357","1970-12-23",43
"358","1970-12-24",51
"359","1970-12-25",50
"360","1970-12-26",39
"361","1970-12-27",30
"362","1970-12-28",44
"363","1970-12-29",39
"364","1970-12-30",43
"365","1970-12-31",57
"366","1971-01-01",29
"367","1971-01-02",37
"368","1971-01-03",36
"369","1971-01-04",42
"370","1971-01-05",39
"371","1971-01-06",43
"372","1971-01-07",35
"373","1971-01-08",45
"374","1971-01-09",31
"375","1971-01-10",41
"376","1971-01-11",42
"377","1971-01-12",42
"378","1971-01-13",35
"379","1971-01-14",29
"380","1971-01-15",45
"381","1971-01-16",47
"382","1971-01-17",35
"383","1971-01-18",47
"384","1971-01-19",36
"385","1971-01-20",37
"386","1971-01-21",50
"387","1971-01-22",37
"388","1971-01-23",33
"389","1971-01-24",34
"390","1971-01-25",38
"391","1971-01-26",51
"392","1971-01-27",44
"393","1971-01-28",38
"394","1971-01-29",49
"395","1971-01-30",42
"396","1971-01-31",33
"397","1971-02-01",33
"398","1971-02-02",49
"399","1971-02-03",36
"400","1971-02-04",49
"401","1971-02-05",44
"402","1971-02-06",44
"403","1971-02-07",31
"404","1971-02-08",40
"405","1971-02-09",53
"406","1971-02-10",29
"407","1971-02-11",33
"408","1971-02-12",37
"409","1971-02-13",44
"410","1971-02-14",41
"411","1971-02-15",33
"412","1971-02-16",42
"413","1971-02-17",36
"414","1971-02-18",41
"415","1971-02-19",39
"416","1971-02-20",35
"417","1971-02-21",51
"418","1971-02-22",34
"419","1971-02-23",40
"420","1971-02-24",37
"421","1971-02-25",32
"422","1971-02-26",42
"423","1971-02-27",43
"424","1971-02-28",37
"425","1971-03-01",32
"426","1971-03-02",29
"427","1971-03-03",41
"428","1971-03-04",34
"429","1971-03-05",32
"430","1971-03-06",37
"431","1971-03-07",53
"432","1971-03-08",34
"433","1971-03-09",37
"434","1971-03-10",33
"435","1971-03-11",37
"436","1971-03-12",44
"437","1971-03-13",31
"438","1971-03-14",38
"439","1971-03-15",37
"440","1971-03-16",32
"441","1971-03-17",27
"442","1971-03-18",44
"443","1971-03-19",25
"444","1971-03-20",34
"445","1971-03-21",34
"446","1971-03-22",36
"447","1971-03-23",54
"448","1971-03-24",42
"449","1971-03-25",31
"450","1971-03-26",30
"451","1971-03-27",30
"452","1971-03-28",32
"453","1971-03-29",39
"454","1971-03-30",42
"455","1971-03-31",39
"456","1971-04-01",35
"457","1971-04-02",27
"458","1971-04-03",39
"459","1971-04-04",25
"460","1971-04-05",31
"461","1971-04-06",33
"462","1971-04-07",46
"463","1971-04-08",42
"464","1971-04-09",32
"465","1971-04-10",33
"466","1971-04-11",42
"467","1971-04-12",47
"468","1971-04-13",35
"469","1971-04-14",46
"470","1971-04-15",34
"471","1971-04-16",37
"472","1971-04-17",32
"473","1971-04-18",48
"474","1971-04-19",35
"475","1971-04-20",38
"476","1971-04-21",38
